,volume_1
full_heart_mesh_001,131.15083276716445
full_heart_mesh_002,127.68318535640687
full_heart_mesh_003,108.72328279513788
full_heart_mesh_004,139.1852694980946
full_heart_mesh_005,124.61450768745786
full_heart_mesh_006,130.9770441698824
full_heart_mesh_007,119.96864493122862
full_heart_mesh_008,111.40804576335576
full_heart_mesh_009,140.97004484908413
full_heart_mesh_010,126.94468410952895
full_heart_mesh_011,130.93360037354742
full_heart_mesh_012,135.5567218864787
full_heart_mesh_013,139.37571026290672
full_heart_mesh_014,123.74952317863249
full_heart_mesh_015,118.06620802097625
full_heart_mesh_016,135.70768292960494
full_heart_mesh_017,122.75279113844145
full_heart_mesh_018,118.74130863288754
full_heart_mesh_019,129.35888288624622
full_heart_mesh_020,131.91176900399338
full_heart_mesh_021,108.60387385489466
full_heart_mesh_022,136.30868425753968
full_heart_mesh_023,110.41705555736921
full_heart_mesh_024,151.220341124727
full_heart_mesh_025,131.78068992298827
full_heart_mesh_026,136.5786251068195
full_heart_mesh_027,128.65637276217473
full_heart_mesh_028,117.9510624848952
full_heart_mesh_029,131.7210572735656
full_heart_mesh_030,122.0335303229732
full_heart_mesh_031,111.81368153039341
full_heart_mesh_032,126.93896337159663
full_heart_mesh_033,131.78841126789555
full_heart_mesh_034,127.2506891586761
full_heart_mesh_035,116.05140600934749
full_heart_mesh_036,126.66492028935502
full_heart_mesh_037,118.3117561289088
full_heart_mesh_038,128.11274299486834
full_heart_mesh_039,136.70148568469682
full_heart_mesh_040,134.63261194151576
full_heart_mesh_041,121.3232890641344
full_heart_mesh_042,107.63889771810085
full_heart_mesh_043,116.23524370962429
full_heart_mesh_044,119.10595014074335
full_heart_mesh_045,120.76375968512836
full_heart_mesh_046,109.89499703669141
full_heart_mesh_047,137.5556853237768
full_heart_mesh_048,92.438971059843
full_heart_mesh_049,128.2479366292017
full_heart_mesh_050,111.18584573376752
full_heart_mesh_051,124.34263158774614
full_heart_mesh_052,134.32108315950887
full_heart_mesh_053,121.93868744491921
full_heart_mesh_054,137.0220280836707
full_heart_mesh_055,126.01088685301717
full_heart_mesh_056,112.74085635854088
full_heart_mesh_057,127.03943976798803
full_heart_mesh_058,137.58556112478618
full_heart_mesh_059,128.07080610589915
full_heart_mesh_060,141.57858942639808
full_heart_mesh_061,122.3209193000602
full_heart_mesh_062,107.22864587175549
full_heart_mesh_063,138.51319301135825
full_heart_mesh_064,138.73450728223435
full_heart_mesh_065,99.99318836917291
full_heart_mesh_066,126.17253537179256
full_heart_mesh_067,129.38686098044107
full_heart_mesh_068,122.82675588309631
full_heart_mesh_069,120.18100736783198
full_heart_mesh_070,117.49773787949601
